FFQ	11	0	0	0	0	0	0	0	0	0	9	1320	11104	0	0	0	1	0	0	5	1264	1598	578	3511	6968	8236	3312	1648	15316	99	824	1828	25277	13874	11371	47126	35486	67047	265671	4545676	0
FFQ	12	0	0	0	0	0	0	0	0	0	7	1247	11302	0	0	0	0	0	0	4	1544	2003	72	3761	7055	8268	3513	1707	15703	2330	1152	5161	20343	16125	9412	48523	36956	69415	274839	4527474	0
FFQ	13	0	0	0	0	0	0	0	0	0	6	1529	13128	0	0	0	3	1	0	6	1689	2106	4	4203	8095	9401	3822	1909	17329	3099	1291	6595	20209	18185	9641	53197	40045	74638	295518	4480919	0
FFQ	14	0	0	0	0	0	0	0	0	0	4	1530	13449	0	0	0	1	0	0	3	1791	2202	0	4138	8004	9688	3858	2006	18000	5302	1721	9861	15588	20311	8081	55011	41144	77424	307979	4458076	0
FFQ	15	0	0	0	0	0	0	0	0	0	6	1625	13877	0	0	1	0	0	1	4	1879	2258	42	4408	8354	9951	4044	2133	18431	7231	2014	12790	11711	22673	6590	56385	42347	78353	315914	4440618	0
FFQ	16	0	0	0	0	0	0	0	0	0	8	1591	13713	0	0	1	1	1	1	5	1810	2338	68	4427	8220	10193	4034	2156	18402	7265	1970	13246	12091	23390	6879	57351	43171	82168	326042	4421523	0
FFQ	17	0	0	0	0	0	0	0	0	0	9	1619	14708	0	0	1	0	3	0	2	1890	2367	152	4604	8945	11013	4127	2096	19195	7509	2172	13693	12368	24062	7112	61252	46135	84022	337315	4394012	0
FFQ	18	0	0	0	0	0	0	0	0	0	14	1842	16667	0	0	1	1	0	1	8	1990	2526	214	5116	9916	12141	4409	2324	20823	8017	2278	14641	13332	25710	7571	65495	49065	90744	357057	4346587	0
FFQ	19	0	0	0	0	0	0	0	0	0	18	2075	18470	0	0	2	2	0	1	5	2395	2620	301	5474	10756	13360	5462	3169	20729	8991	2482	15227	14447	27766	7740	69647	51138	93799	375537	4304937	0
FFQ	20	0	0	0	0	0	0	0	0	0	14	1877	17286	0	0	2	1	1	2	8	3382	1348	330	5247	10245	12900	10776	6870	11446	11529	2467	12813	14513	27915	7816	69321	50877	96807	385729	4292942	0
FFQ	21	0	0	0	0	0	0	0	0	0	15	2014	18177	0	0	1	1	3	1	10	3574	1164	301	5525	12125	13829	11425	8031	10113	12622	3285	12072	15954	27953	8463	73251	54460	105064	392183	4260598	0
FFQ	22	0	0	0	0	0	0	0	0	0	13	2306	20348	0	0	0	0	2	2	14	4107	1178	355	6095	12219	14966	14324	8904	9581	13822	2830	13021	16311	31436	8955	78401	57444	107522	424221	4201317	0
FFQ	23	0	0	0	0	0	0	0	0	0	15	2165	19419	0	0	3	0	3	3	11	4898	140	379	5841	15747	15788	14597	12159	1061	16442	5438	8879	19797	27102	9671	79560	57905	129415	408214	4192551	0
FFQ	24	0	0	0	0	0	0	0	0	0	27	2261	20319	0	0	3	1	4	1	14	5115	13	331	6371	19288	17365	12251	13162	21	16991	7688	7805	22679	25378	10431	83888	61114	146014	404149	4161911	0
FFQ	25	0	0	0	0	0	0	0	0	0	29	2568	22938	0	0	1	1	2	2	10	5604	15	364	7033	23827	19894	10128	14343	22	18252	9721	6775	26447	24299	11428	90009	65142	165941	406678	4110080	0
FFQ	26	0	0	0	0	0	0	0	0	0	25	2777	24272	0	0	5	1	0	1	14	6091	17	434	7448	26393	21612	9013	15127	17	19557	11299	6972	29811	24785	12640	95554	68395	183637	423542	4049095	0
FFQ	27	0	0	0	0	0	0	0	0	0	35	3045	25809	0	0	2	0	6	2	14	6335	18	1709	6597	30617	23050	5275	15694	17	20188	15870	7822	31216	22005	14868	98795	81531	194526	421656	4008603	0
FFQ	28	0	0	0	0	0	0	0	0	0	34	3016	26600	0	0	1	2	0	3	15	6455	23	4608	4067	34659	25096	1587	16533	17	21381	21746	11417	29709	19326	18085	102158	108319	190611	419026	3967387	0
FFQ	29	0	0	0	0	0	0	0	0	0	34	3247	28333	0	0	1	2	2	6	10	6894	41	4348	5199	38199	27262	60	17772	14	22400	23168	10209	34662	19353	18862	108948	106579	215432	428900	3908053	0
FFQ	30	0	0	0	0	0	0	0	0	0	43	3390	29414	0	0	3	1	5	7	24	7004	47	6249	3688	38994	28393	848	18176	13	23532	25793	13659	31877	20563	21351	111996	126829	204424	447091	3860581	0
FFQ	31	0	0	0	0	0	0	0	0	0	49	3541	30895	0	0	3	2	4	3	28	7146	41	9169	1469	42200	27742	66	18677	14	25275	28450	18077	28681	21532	21973	114299	148752	190497	454700	3825597	0
FFQ	32	0	0	0	0	0	0	0	0	0	39	3840	32633	0	0	3	3	4	8	22	7847	59	10528	432	48921	25248	69	19700	16	31714	26631	20827	29814	24731	18770	118352	163781	186583	468890	3774015	0
FFQ	33	0	0	0	0	0	0	0	0	0	58	4026	35314	0	0	11	1	4	6	27	8337	72	11652	671	58001	21181	87	21255	20	39345	23258	22445	35725	28865	13851	124765	170459	196947	485653	3705860	0
FFQ	34	0	0	0	0	0	0	0	0	0	57	4207	37031	0	0	8	4	7	2	32	8925	71	12644	32	65972	16793	106	22180	30	46971	19740	24614	38727	32087	8897	128747	182130	198020	499950	3653863	0
FFQ	35	0	0	13	0	0	0	0	0	0	53	4369	38919	0	0	7	5	246	93	239	8674	96	13089	43	73659	12887	129	23240	36	54428	15745	26340	42563	36059	4080	134287	188573	204247	511081	3601922	0
FFQ	36	0	0	0	0	0	0	0	0	0	51	4518	40336	0	0	8	4	1455	497	1374	6253	108	13878	75	78074	11556	112	23844	32	58566	14594	30345	44005	40172	2732	139339	189453	210588	526567	3549472	0
FFQ	37	0	0	0	0	0	0	0	0	0	84	5177	44714	0	0	5	4	1922	668	1654	5950	130	15141	103	85187	12628	128	25593	34	61628	15769	32871	46763	42898	3168	146987	199283	219640	546265	3465811	0
FFQ	38	0	0	0	0	0	0	0	0	0	76	5267	46693	0	0	6	6	2183	736	1898	6069	151	15903	115	89422	12655	171	27468	47	67738	15730	34681	51518	45784	2510	152947	206907	229386	562269	3393870	0
FFQ	39	0	0	0	0	0	0	0	0	0	80	5561	49682	0	0	1	166	3057	1030	2778	4381	161	16735	163	94199	12503	183	27254	46	73475	15053	38933	52163	47860	1513	157669	217603	231163	573670	3336186	0
FFQ	40	0	0	0	0	0	0	0	0	6	114	5769	50150	0	0	10	1160	3245	1552	3797	1676	187	19425	387	96472	14543	153	24019	71	80753	15421	53178	46044	43135	2323	163938	258357	195216	587570	3285175	0
FFQ	41	0	0	0	0	0	0	0	0	7	100	6284	53982	0	0	16	1689	3221	1670	4124	1811	200	21768	475	102204	16730	141	23568	93	87401	16083	59868	44862	40703	2514	169971	286543	180272	598793	3218382	0
FFQ	42	0	0	0	0	0	0	0	0	8	99	6485	55686	0	0	7	1807	3852	1910	4892	654	188	22472	554	105775	17351	171	24421	79	91918	16788	62891	48064	44064	2937	175318	291958	186275	613741	3152065	0
FFQ	43	0	0	0	0	0	0	0	0	16	123	7062	58540	0	0	12	3439	2589	2074	5300	75	210	28201	893	109393	21597	156	18356	108	104937	17161	81361	38245	31694	3571	182205	362169	125041	625407	3090211	0
FFQ	44	0	0	0	0	0	0	0	0	36	158	7642	62408	0	0	14	4325	1958	2249	5673	92	205	32649	1212	114451	24092	162	15956	117	112881	17960	92527	35092	26225	4043	188515	403530	95634	635643	3021404	0
FFQ	45	0	0	0	0	0	0	0	0	38	151	8429	66169	0	0	19	5447	1019	2232	5735	684	177	37630	1499	118500	26910	150	12964	172	124372	18642	103973	31952	19750	4384	193986	453148	62027	647488	2944751	0
FFQ	46	0	0	0	0	0	0	0	0	46	149	8907	69696	0	0	20	5470	1880	2617	6513	134	228	39384	1615	123592	28002	197	15472	155	130294	19170	105682	37289	24816	4489	201630	451614	80266	657565	2859219	0
FFQ	47	0	0	0	0	0	0	0	0	41	169	9610	72652	0	0	28	7337	440	2539	6959	160	196	46493	2034	126533	31369	147	10046	196	144309	19551	122667	29322	14033	5070	205635	516536	25408	668807	2789231	0
FFQ	48	0	0	0	0	0	0	0	0	61	9090	16104	59918	0	2	20	7946	1299	3002	7608	614	20519	45461	8607	104182	42596	7638	18235	5497	118878	27282	130129	34447	22371	47233	174904	485958	56885	1107255	2273095	0
FFQ	49	0	0	0	0	0	0	0	0	75	19913	23907	42968	0	6	19	9764	1005	3212	8279	983	44774	46762	17079	77922	55363	15450	21922	10698	96351	35765	150060	32799	22383	96252	139601	491250	47579	1622193	1679561	0
FFQ	50	0	0	0	0	0	0	0	0	69	11221	18587	63511	0	5	35	9298	971	3338	8635	734	25759	54237	11096	110108	48924	8852	17746	6391	132823	30057	146993	35097	20381	55056	180819	524152	40225	1162568	2060178	0
FFQ	51	0	0	0	0	0	0	0	0	119	24100	27890	40372	0	9	39	10689	1285	3837	9116	1395	54460	50505	20461	74211	64087	20033	26471	13627	96647	39716	162245	36227	25490	110629	133952	506358	52246	1668430	1483826	0
FFQ	52	0	0	0	0	0	0	0	0	127	31772	33557	29070	0	13	39	11473	1742	4013	9552	1764	73527	49546	26096	55842	73998	26077	32290	18474	73349	46383	171317	38487	30329	150472	105188	484365	68936	2125300	953761	0
FFQ	53	0	0	0	0	0	0	0	0	155	40503	40196	19798	0	20	46	12296	2523	4383	10385	2060	92056	47756	32476	41098	84917	31916	38884	22204	54649	52361	179630	42726	36817	182716	81850	464996	88272	2383690	600531	0
FFQ	54	0	0	0	0	0	0	0	0	156	36490	37979	27989	0	10	33	12719	2057	4425	10721	1955	85533	53561	30484	52260	83830	30306	37080	21258	72122	50124	184495	41357	33387	169538	96149	492166	74929	2250740	660579	0
FFQ	55	0	0	0	0	0	0	0	0	226	42699	43497	21714	0	22	37	13736	2433	4720	11307	2160	97081	53264	34724	43007	90958	34150	41030	23902	61759	54027	191880	43613	35160	184592	85450	489006	78096	2272296	556060	0
FFQ	56	0	0	0	0	0	0	0	0	213	49809	48455	9037	0	19	44	14703	3021	5243	11919	2678	112741	49460	38886	26239	100437	40357	47571	28806	41367	58804	198217	45700	39047	213748	60791	473797	89684	2515861	242715	0
FFQ	57	0	0	0	0	0	0	0	6	1510	52792	50217	8064	4	26	51	15322	3168	5301	12272	2913	120284	50603	41955	26757	104062	42885	49676	30324	43296	61004	199339	46355	42500	222552	57275	484667	105487	2477054	164286	0
FFQ	58	0	0	0	0	0	0	0	0	216	52119	50837	9905	0	33	61	15571	3059	5346	12653	2958	118799	52612	41409	25292	106776	43502	50708	31014	41987	60732	207682	48233	40680	221331	57674	481413	89517	2459942	141456	0
FFQ	59	0	0	0	0	0	0	0	30	11619	55636	43090	7	8	35	47	17461	4418	4742	11446	2588	138491	43026	44533	32517	104870	50764	57398	36067	54306	69709	169533	43697	58004	240217	45360	543579	194873	2343419	0	0
FFQ	60	0	0	0	0	0	0	0	62	20303	57736	35941	7	14	26	53	19268	5341	4303	10204	2147	148927	39567	46038	49249	101091	53039	59139	38585	79165	75300	137031	38675	70190	242632	49307	605422	276803	2100509	0	0
FFQ	61	0	0	0	0	0	0	0	70	18729	57691	38000	11	10	35	61	19008	5065	4624	10509	2293	148396	41019	47006	45433	103796	53113	59910	39105	74782	73751	144105	40786	68356	241213	49384	592368	259438	2069192	0	0
FFQ	62	0	0	0	0	0	0	0	63	23030	59186	35708	14	22	33	50	20353	5746	4328	10463	2238	155330	39534	48569	53793	103415	54789	62310	41093	87275	76367	130247	38498	73195	243299	51772	623716	296527	1903344	0	0
FFQ	63	0	0	0	0	0	0	0	107	33089	60151	26548	3541	25	22	44	22345	6589	4025	9624	1715	159218	37707	47542	73190	97872	57274	63415	41988	115389	79409	99425	34582	81659	234238	59043	676931	353549	1658664	38509	0
FFQ	64	0	0	0	0	0	0	0	128	39242	61255	21405	13	28	29	49	23773	7439	3703	9137	1587	167214	32934	49227	80198	95436	60865	68040	44701	124054	83397	79444	31850	89307	237319	57001	709543	403383	1526761	0	0
FFQ	65	0	0	0	0	0	0	0	96	32883	62495	29239	13	25	26	63	22998	6923	4301	10229	2000	165600	36555	49778	70273	102460	60209	67418	43516	108901	80181	103172	35248	80059	234106	53791	664200	342949	1566753	0	0
FFQ	66	0	0	0	0	0	0	0	143	41351	58312	17509	4415	32	16	41	24365	7605	3511	8931	1452	166168	34560	47771	92642	93370	61465	68894	45067	143397	84672	64839	30393	93465	226696	63680	736599	434200	1285059	21663	0
FFQ	67	0	0	0	0	0	0	0	200	55118	60159	4434	24	39	23	42	26468	8841	2526	6326	644	179125	24400	49421	109619	85035	65582	71845	47858	166712	91611	17863	22931	107661	231023	62190	801339	528040	1057911	0	0
FFQ	68	0	0	0	0	0	0	0	211	55986	60506	3086	25	41	25	51	26561	8903	2511	6407	568	180501	24088	49609	112068	83893	65556	71663	47706	169501	90932	11767	21966	107125	227365	61841	797764	530501	986872	0	0
FFQ	69	0	0	0	0	0	0	0	190	52419	60958	7454	22	45	32	47	26297	8623	2955	7088	887	179048	25887	50055	104798	87597	64682	72077	47615	159718	88333	23987	23793	101684	224010	60280	767454	497789	977075	0	0
FFQ	70	0	0	0	0	0	0	0	197	58137	63387	3653	30	44	25	40	27825	9081	2653	6642	604	183070	24169	50560	112314	85990	66459	73303	47955	166697	89753	12462	21899	101256	219698	60965	767342	500792	879035	0	0
FFQ	71	0	0	0	0	0	0	0	211	57077	64065	4943	38	45	24	45	28207	9405	2862	7062	743	180674	25242	50401	109925	86185	67679	74281	46558	160993	88140	17852	22351	97174	212567	59447	743620	470593	861369	0	0
FFQ	72	0	0	0	0	0	0	0	217	60185	62524	0	24	48	25	38	28411	9596	2586	6237	455	180340	22401	49183	116268	81717	67319	74537	46166	170516	89841	899	19464	99966	208564	59842	762013	496629	747721	0	0
FFQ	73	0	0	0	0	0	0	0	212	56510	61132	1765	30	48	32	59	27218	9187	2542	6307	574	177568	23115	48809	112906	82477	67390	74043	45824	164118	86764	6448	19960	95155	203047	58909	737840	473659	732111	0	0
FFQ	74	0	0	0	0	0	0	0	199	58120	63060	1847	25	56	33	36	27718	9131	2517	6430	543	178159	22996	49536	111213	82688	65791	73194	44956	160408	85806	6535	19791	92313	199135	57161	716439	455936	691209	0	0
FFQ	75	0	0	0	0	0	0	0	217	60114	63442	0	27	63	36	46	28752	9747	2591	6513	476	176106	22147	48328	114050	80294	66687	74609	44210	161468	84690	838	18739	91116	191759	56216	707257	449881	631366	0	0
FFQ	76	0	0	0	0	0	0	0	225	58624	62602	0	30	56	35	50	27816	9494	2513	6207	445	173643	21951	47553	112268	79424	66863	73559	43024	157964	83497	844	18179	87965	186789	55626	689745	436111	597597	0	0
FFQ	77	0	0	0	0	0	0	0	245	57726	61768	0	24	75	36	40	27660	9304	2532	6137	465	170590	21471	47434	110681	78321	65405	73407	42199	155753	81813	897	17841	84899	180669	53916	672143	419902	565120	0	0
FFQ	78	0	0	0	0	0	0	0	220	56478	62323	1933	24	77	27	66	27517	9334	2672	6533	623	168985	22260	47043	107332	78803	65411	72529	41441	148568	79448	6217	18250	79972	175402	51936	643168	393365	546415	0	0
FFQ	79	0	0	0	0	0	0	0	232	54457	60570	1872	27	65	22	35	26637	9111	2673	6356	607	162760	21717	45760	105375	77683	64032	71526	40368	145322	78433	5851	17905	77762	168238	51140	628565	381193	515680	0	0
FFQ	80	0	0	0	0	0	0	0	256	56160	61355	0	25	57	41	58	27334	9097	2535	6134	475	162018	20854	45599	105395	75158	64311	71098	39690	144461	76726	832	16677	75424	162049	50280	612912	373880	466631	0	0
FFQ	81	0	0	0	0	0	0	0	245	52878	61197	3829	27	69	49	48	26817	9167	2937	7034	733	157957	22028	44746	100335	76213	63091	70976	38271	135112	73005	10418	17863	69619	155586	47694	580699	342041	463522	0	0
FFQ	82	0	0	0	0	0	0	0	250	53322	59064	0	27	64	29	51	26102	8802	2409	5828	500	153839	19938	43584	101820	71664	62452	69794	36589	137322	72989	804	15621	69087	150548	47871	577576	344546	410465	0	0
FFQ	83	0	0	0	0	0	0	0	229	52285	58254	0	23	56	32	54	25716	8659	2473	5860	497	150574	19831	42891	98865	70560	60138	68085	36185	132798	70621	754	15114	66583	144939	45945	554752	330844	387596	0	0
FFQ	84	0	0	0	0	0	0	0	218	51229	56126	0	24	70	33	52	25202	8478	2387	5690	489	147032	19066	41543	96544	69242	58293	66381	34934	128049	68035	804	14534	63566	139881	44221	535838	317290	365130	0	0
FFQ	85	0	0	0	0	0	0	0	213	48902	55638	852	3223	59	38	66	24655	8176	2587	6115	486	138935	21569	40322	95213	67380	56538	63798	32733	127866	64638	5026	14728	59061	129036	45462	510905	293068	340670	10846	0
FFQ	86	0	0	0	0	0	0	0	269	48874	57002	1871	28	83	32	51	25289	8510	2671	6207	645	139799	19014	39596	91416	67341	57988	65628	32274	117781	63431	5297	14368	55947	126738	41382	485939	276934	326667	0	0
FFQ	87	0	0	0	0	0	0	0	215	47376	53697	0	32	68	39	57	23858	8052	2428	5401	494	133627	17702	38092	89800	64075	56508	63553	31245	116670	62241	713	13526	54909	121214	40479	476663	274578	294896	0	0
FFQ	88	0	0	0	0	0	0	0	252	45949	52673	0	12	69	40	49	22845	7433	2259	5186	463	130249	17199	37863	86441	61865	53640	61478	29984	112275	60012	673	12675	52132	116816	38614	455865	261661	277703	0	0
FFQ	89	0	0	0	0	0	0	0	254	45367	51906	0	25	64	29	53	22962	7663	2290	5618	470	125561	16631	36303	84424	59944	52571	60343	28785	106927	57580	622	12389	49665	111137	36754	434964	247202	259301	0	0
FFQ	90	0	0	0	0	0	0	0	213	43202	49807	1119	23	52	33	40	21591	7213	2212	5278	514	121568	16482	35454	79283	58808	50748	58522	27929	102511	54441	3069	12153	46746	106280	35589	414656	232557	246270	0	0
FFQ	91	0	0	0	0	0	0	0	229	41978	48754	0	29	77	21	37	21669	7071	2241	5069	445	118221	15801	34398	78601	56478	49644	56801	26572	99547	53337	630	11258	44398	100571	34441	397444	222081	224148	0	0
FFQ	92	0	0	0	0	0	0	0	237	41235	47682	0	22	74	40	49	20828	7031	2103	4969	440	112437	15090	32775	75648	54038	47764	55854	25172	94935	50817	616	10823	41783	95419	32446	380535	209909	210638	0	0
FFQ	93	0	0	0	0	0	0	0	191	36982	45153	2054	17	61	25	51	19498	6499	2188	5018	571	106789	15169	31570	70143	53594	45553	53261	24791	88468	47985	4501	11275	39388	90935	31235	359416	196553	205059	0	0
FFQ	94	0	0	0	0	0	0	0	210	38258	44882	0	19	61	31	54	19419	6331	1955	4662	448	105234	14206	30574	69669	50501	44216	51518	23180	86651	46715	531	9896	37546	86299	30328	343180	188271	182698	0	0
FFQ	95	0	0	0	0	0	0	0	173	36369	43634	0	19	52	37	54	18686	6246	2043	4446	443	99721	13633	29385	67140	49152	42606	49982	22427	82599	44590	527	9223	35670	81354	28637	326986	178311	169173	0	0
FFQ	96	0	0	0	0	0	0	0	197	34503	41567	0	33	61	30	36	17967	5950	1954	4254	457	94884	13007	28400	63974	46940	41187	48628	21145	78632	42353	476	9231	33490	76801	26988	310411	168962	158300	0	0
FFQ	97	0	0	0	0	0	0	0	205	33700	40947	1263	26	54	31	52	17522	5945	1979	4570	500	91148	13041	27162	60380	45811	39993	47239	20230	73599	40327	3276	8927	30622	72189	25556	288395	153505	151808	0	0
FFQ	98	0	0	0	0	0	0	0	187	31765	38234	0	19	67	38	49	16649	5624	1835	4001	410	86413	12016	25794	59083	43009	39045	44992	18784	71335	38707	485	8120	29886	67910	24630	279863	148965	134959	0	0
FFQ	99	0	0	0	0	0	0	0	190	30470	37451	0	15	52	21	41	15770	5145	1702	3588	379	82529	11491	24846	55584	40968	36003	42591	17821	67444	36693	440	7951	27950	64456	23798	264233	141707	126161	0	0
FFQ	100	0	0	0	0	0	0	0	174	28518	35228	0	16	63	34	45	15326	4938	1754	3615	381	77505	10840	23497	53253	38816	34365	40538	17167	63913	34672	412	7332	25901	60608	22501	249835	134273	119423	0	0
FFQ	101	0	0	0	0	0	0	0	176	27535	33648	0	14	62	31	47	14135	4662	1554	3420	361	74395	10273	22753	50248	37058	32128	39331	16422	60316	33168	390	6927	24352	57762	21404	235153	125840	110887	0	0
FFQ	102	0	0	0	0	0	0	0	195	26303	32670	0	19	51	28	44	13710	4413	1482	3264	387	71195	9916	21795	47714	35515	30819	37150	15412	56871	30787	380	6459	22926	53943	20183	221676	117455	103004	0	0
FFQ	103	0	0	0	0	0	0	0	165	24989	31355	0	14	47	27	37	13373	4251	1491	3117	298	67546	9509	20651	45233	33622	29493	35994	14277	54107	29138	349	6104	21122	50454	19007	208078	109734	95277	0	0
FFQ	104	0	0	0	0	0	0	0	181	23638	30033	0	17	56	32	44	12759	4067	1462	2974	351	63508	8903	19581	43027	31877	28306	34367	13451	50626	27696	315	5876	19680	47087	17905	195554	103356	87743	0	0
FFQ	105	0	0	0	0	0	0	0	175	23078	28674	0	12	55	31	38	12353	4056	1423	3078	279	60561	8419	18634	40777	30303	26684	32965	12739	47709	26349	281	5434	18574	44040	16950	182821	95655	80390	0	0
FFQ	106	0	0	0	0	0	0	0	173	21158	26967	0	15	57	19	37	11558	3870	1325	2756	297	56609	8028	17345	38797	28657	26027	31035	11979	44766	24656	305	5226	17098	40884	16044	172828	89873	74956	0	0
FFQ	107	0	0	0	0	0	0	0	149	19783	25223	0	6	42	28	37	10710	3416	1220	2632	267	52696	7738	16280	36055	27117	24210	29369	10989	42430	23585	293	5006	16244	38399	15094	162696	84472	70150	0	0
FFQ	108	0	0	2	0	0	0	0	158	18678	24189	0	8	47	21	32	10233	3255	1155	2396	270	50099	7033	15802	34153	25721	22332	27722	10489	39194	21864	282	4640	14993	36007	14017	151336	79163	65284	0	0
FFQ	109	0	0	0	0	0	0	0	134	17920	22722	0	13	43	28	33	9719	3062	1154	2296	250	46583	6639	14757	31960	24102	21330	26125	9932	36777	20214	245	4268	13903	33737	13284	141741	73887	60794	0	0
FFQ	110	0	0	0	0	0	0	0	128	16962	21813	0	7	44	25	30	9098	2964	1054	2294	236	44243	6408	14278	30167	23010	20066	24926	9333	34535	18790	242	3983	12663	31295	12581	131413	68333	55946	0	0
FFQ	111	0	0	0	0	0	0	0	124	16115	20760	0	18	40	21	31	8656	2880	1043	2142	261	41882	5870	13060	28258	21547	19304	23802	8749	32309	17821	233	3798	11576	29013	11790	122536	63125	51073	0	0
FFQ	112	0	0	0	0	0	0	0	130	14663	19318	0	8	34	14	31	8124	2603	931	1927	239	38780	5567	12279	26697	19990	17907	22370	7955	30392	16737	211	3481	11161	27003	11298	115766	58860	47038	0	0
FFQ	113	0	0	0	0	0	0	0	108	13799	17886	0	13	27	19	20	7561	2408	919	1797	226	36191	5089	11464	24937	18818	16629	20919	7430	27965	15662	207	3376	10372	25177	10505	108063	55815	43650	0	0
FFQ	114	0	0	0	0	0	0	0	113	12651	17288	0	16	25	19	23	7137	2208	828	1702	204	33790	5041	10825	22990	17625	15558	19682	7016	26065	14586	197	3166	9304	23481	9697	100177	51912	40747	0	0
FFQ	115	0	0	0	0	0	0	0	92	11819	16099	0	10	36	14	26	6739	2096	792	1588	180	31511	4597	10281	21355	16576	14523	18369	6411	24298	13599	158	2927	8672	21610	9172	93262	48509	37709	0	0
FFQ	116	0	0	0	0	0	0	0	113	11324	15369	0	6	25	15	25	6243	1997	755	1488	158	29192	4298	9554	20272	15513	13732	17237	5992	22498	12537	153	2563	7971	20043	8469	86797	44521	34868	0	0
FFQ	117	0	0	0	0	0	0	0	83	10583	14556	0	5	29	10	25	6106	1872	747	1393	156	27566	3982	8878	18643	14562	12924	16563	5448	21179	11669	150	2444	7304	18545	7732	79914	41025	31917	0	0
FFQ	118	0	0	0	0	0	0	0	90	9800	13422	0	3	20	11	21	5651	1789	697	1395	148	25556	3735	8295	17607	13386	12098	15519	5166	19362	10879	132	2326	6912	17192	7457	74625	37810	29349	0	0
